Point	Type			Link-incidence		Joint-direction		Joint-variable
0		"revolute"		"(nil 0)"			"(0 0 1)"			"()"
3		"revolute"		"(0 1)"				"(0 0 -1)"			"()"
4		"revolute"		"(0 2)"				"(0 0 1)"			"()"
5		"revolute"		"(3 1)"				"(0 0 1)"			"()"
6		"revolute"		"(4 2)"				"(0 0 -1)"			"()"
7		"revolute"		"(3 5)"				"(0 0 1)"			"()"
8		"revolute"		"(4 5)"				"(0 0 -1)"			"()"
29		"revolute"		"(3 8)"				"(0 0 1)"			"()"
30		"revolute"		"(4 9)"				"(0 0 -1)"			"()"
11		"revolute"		"(3 14)"			"(0 0 -1)"			"()"
12		"revolute"		"(4 15)"			"(0 0 1)"			"()"
13		"revolute"		"(14 16)"			"(0 0 1)"			"()"
14		"revolute"		"(15 17)"			"(0 0 -1)"			"()"
15		"revolute"		"(6 5)"				"(0 0 -1)"			"()"
16		"revolute"		"(7 5)"				"(0 0 1)"			"()"
17		"revolute"		"(6 8)"				"(0 0 -1)"			"()"
18		"revolute"		"(7 9)"				"(0 0 1)"			"()"
19		"revolute"		"(10 6)"			"(0 0 -1)"			"()"
20		"revolute"		"(11 7)"			"(0 0 1)"			"()"
21		"revolute"		"(10 12)"			"(0 0 -1)"			"()"
22		"revolute"		"(11 13)"			"(0 0 1)"			"()"
27		"revolute"		"(12 16)"			"(0 0 -1)"			"()"
28		"revolute"		"(13 17)"			"(0 0 1)"			"()"
25		"free"			"(nil 16)"			"(0 1 0)"			"()"
26		"free"			"(nil 17)"			"(0 1 0)"			"()"
23		"free"			"(nil 16)"			"(0 1 0)"			"()"
24		"free"			"(nil 17)"			"(0 1 0)"			"()"
